;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;137;0.0548;141;0.0564;0.9434
6;6;631;0.2524;772;0.3088;0.6914
7;7;505;0.202;1277;0.5107;0.4893
8;8;450;0.18;1727;0.691;0.309
9;9;272;0.1088;1999;0.8;0.2002
10;10;190;0.076;2189;0.876;0.124
11;11;130;0.052;2319;0.9277;0.07227
12;12;77;0.0308;2396;0.9585;0.0415
13;13;49;0.0196;2445;0.978;0.02197
14;14;27;0.0108;2472;0.989;0.01123
15;15;12;0.0048;2484;0.9937;0.006348
16;16;5;0.002;2489;0.9956;0.004395
17;17;4;0.0016;2493;0.997;0.00293
18;18;4;0.0016;2497;0.9985;0.001465
19;19;1;0.0004;2498;0.999;0.000977
20;20;1;0.0004;2499;0.9995;0.0004883
21;21;0;0.0;2499;0.9995;0.0004883
22;22;1;0.0004;2500;1.0;0.0
