;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;2;0.0008;2;0.0008;0.999
5;5;101;0.0404;103;0.0412;0.959
6;6;544;0.2177;647;0.2588;0.741
7;7;602;0.2408;1249;0.4995;0.5005
8;8;493;0.1971;1742;0.697;0.3032
9;9;306;0.1224;2048;0.8193;0.1807
10;10;186;0.0744;2234;0.8936;0.10645
11;11;121;0.0484;2355;0.942;0.0581
12;12;65;0.026;2420;0.968;0.03223
13;13;33;0.0132;2453;0.981;0.01904
14;14;23;0.0092;2476;0.99;0.009766
15;15;8;0.0032;2484;0.9937;0.006348
16;16;9;0.0036;2493;0.997;0.00293
17;17;5;0.002;2498;0.999;0.000977
18;18;0;0.0;2498;0.999;0.000977
19;19;1;0.0004;2499;0.9995;0.0004883
20;20;0;0.0;2499;0.9995;0.0004883
21;21;1;0.0004;2500;1.0;0.0
