;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;2;0.0008;2;0.0008;0.999
5;5;93;0.0372;95;0.038;0.962
6;6;582;0.2328;677;0.2708;0.7295
7;7;610;0.244;1287;0.5146;0.4854
8;8;456;0.1824;1743;0.6973;0.3027
9;9;293;0.1172;2036;0.8145;0.1855
10;10;204;0.0816;2240;0.896;0.104
11;11;116;0.0464;2356;0.9424;0.05762
12;12;52;0.0208;2408;0.9634;0.03662
13;13;35;0.014;2443;0.9775;0.02246
14;14;18;0.0072;2461;0.985;0.01514
15;15;16;0.0064;2477;0.991;0.00879
16;16;11;0.0044;2488;0.9956;0.004395
17;17;4;0.0016;2492;0.997;0.00293
18;18;4;0.0016;2496;0.9985;0.001465
19;19;3;0.0012;2499;0.9995;0.0004883
20;20;1;0.0004;2500;1.0;0.0
