;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;132;0.0528;136;0.05438;0.946
6;6;696;0.2783;832;0.3328;0.667
7;7;573;0.2292;1405;0.562;0.438
8;8;413;0.1652;1818;0.727;0.273
9;9;228;0.0912;2046;0.8184;0.1816
10;10;128;0.0512;2174;0.8696;0.1304
11;11;100;0.04;2274;0.9097;0.09033
12;12;76;0.0304;2350;0.94;0.06006
13;13;53;0.0212;2403;0.961;0.03906
14;14;24;0.0096;2427;0.9707;0.0293
15;15;27;0.0108;2454;0.9814;0.01855
16;16;17;0.0068;2471;0.9883;0.01172
17;17;4;0.0016;2475;0.9897;0.010254
18;18;6;0.0024;2481;0.992;0.007812
19;19;6;0.0024;2487;0.9946;0.00537
20;20;5;0.002;2492;0.9966;0.003418
21;21;2;0.0008;2494;0.9976;0.002441
22;22;3;0.0012;2497;0.9985;0.001465
23;23;0;0.0;2497;0.9985;0.001465
24;24;0;0.0;2497;0.9985;0.001465
25;25;0;0.0;2497;0.9985;0.001465
26;26;0;0.0;2497;0.9985;0.001465
27;27;1;0.0004;2498;0.999;0.000977
28;28;1;0.0004;2499;0.9995;0.0004883
29;29;0;0.0;2499;0.9995;0.0004883
30;30;0;0.0;2499;0.9995;0.0004883
31;31;0;0.0;2499;0.9995;0.0004883
32;32;0;0.0;2499;0.9995;0.0004883
33;33;0;0.0;2499;0.9995;0.0004883
34;34;1;0.0004;2500;1.0;0.0
