;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;116;0.0464;120;0.04797;0.952
6;6;712;0.285;832;0.333;0.667
7;7;536;0.2144;1368;0.5474;0.4526
8;8;386;0.1544;1754;0.7017;0.2983
9;9;258;0.1032;2012;0.8047;0.1953
10;10;183;0.0732;2195;0.878;0.1221
11;11;106;0.0424;2301;0.9204;0.0796
12;12;68;0.0272;2369;0.9478;0.05225
13;13;45;0.018;2414;0.966;0.03418
14;14;24;0.0096;2438;0.9756;0.02441
15;15;26;0.0104;2464;0.986;0.01416
16;16;10;0.004;2474;0.9897;0.010254
17;17;9;0.0036;2483;0.993;0.006836
18;18;8;0.0032;2491;0.9966;0.003418
19;19;2;0.0008;2493;0.9976;0.002441
20;20;5;0.002;2498;0.9995;0.0004883
21;21;0;0.0;2498;0.9995;0.0004883
22;22;1;0.0004;2499;1.0;0.0
23;23;0;0.0;2499;1.0;0.0
24;24;0;0.0;2499;1.0;0.0
25;25;0;0.0;2499;1.0;0.0
26;26;0;0.0;2499;1.0;0.0
27;27;0;0.0;2499;1.0;0.0
28;28;0;0.0;2499;1.0;0.0
29;29;0;0.0;2499;1.0;0.0
30;30;1;0.0004;2500;1.0;0.0
