;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;97;0.0388;101;0.04037;0.9595
6;6;468;0.1873;569;0.2277;0.7725
7;7;587;0.2347;1156;0.4624;0.5376
8;8;539;0.2156;1695;0.6777;0.3223
9;9;382;0.1528;2077;0.8306;0.1694
10;10;201;0.0804;2278;0.911;0.08887
11;11;118;0.0472;2396;0.9585;0.0415
12;12;58;0.0232;2454;0.9814;0.01855
13;13;29;0.0116;2483;0.993;0.006836
14;14;10;0.004;2493;0.997;0.00293
15;15;5;0.002;2498;0.999;0.000977
16;16;0;0.0;2498;0.999;0.000977
17;17;2;0.0008;2500;1.0;0.0
