;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;152;0.0608;156;0.06238;0.9375
6;6;1379;0.552;1535;0.6143;0.3857
7;7;291;0.1164;1826;0.7305;0.2695
8;8;170;0.068;1996;0.7983;0.2017
9;9;93;0.0372;2089;0.8354;0.1646
10;10;74;0.0296;2163;0.865;0.1348
11;11;60;0.024;2223;0.889;0.11084
12;12;43;0.0172;2266;0.9062;0.09375
13;13;30;0.012;2296;0.9185;0.08154
14;14;34;0.0136;2330;0.932;0.0679
15;15;25;0.01;2355;0.942;0.0581
16;16;19;0.0076;2374;0.9497;0.0503
17;17;20;0.008;2394;0.9575;0.04248
18;18;13;0.0052;2407;0.963;0.0371
19;19;14;0.0056;2421;0.9683;0.03174
20;20;9;0.0036;2430;0.9717;0.02832
21;21;4;0.0016;2434;0.973;0.02686
22;22;7;0.0028;2441;0.976;0.02393
23;23;6;0.0024;2447;0.9785;0.02148
24;24;5;0.002;2452;0.9805;0.01953
25;25;7;0.0028;2459;0.9834;0.0166
26;26;9;0.0036;2468;0.987;0.01318
27;27;2;0.0008;2470;0.988;0.01221
28;28;1;0.0004;2471;0.9883;0.01172
29;29;3;0.0012;2474;0.9893;0.01074
30;30;2;0.0008;2476;0.99;0.009766
31;31;2;0.0008;2478;0.991;0.00879
32;32;4;0.0016;2482;0.9927;0.007324
33;33;2;0.0008;2484;0.9937;0.006348
34;34;2;0.0008;2486;0.9946;0.00537
35;35;3;0.0012;2489;0.9956;0.004395
36;36;3;0.0012;2492;0.9966;0.003418
37;37;1;0.0004;2493;0.997;0.00293
38;38;0;0.0;2493;0.997;0.00293
39;39;0;0.0;2493;0.997;0.00293
40;40;1;0.0004;2494;0.9976;0.002441
41;41;1;0.0004;2495;0.998;0.001953
42;42;0;0.0;2495;0.998;0.001953
43;43;1;0.0004;2496;0.9985;0.001465
44;44;0;0.0;2496;0.9985;0.001465
45;45;1;0.0004;2497;0.999;0.000977
46;46;0;0.0;2497;0.999;0.000977
47;47;0;0.0;2497;0.999;0.000977
48;48;0;0.0;2497;0.999;0.000977
49;49;1;0.0004;2498;0.9995;0.0004883
50;50;0;0.0;2498;0.9995;0.0004883
51;51;0;0.0;2498;0.9995;0.0004883
52;52;0;0.0;2498;0.9995;0.0004883
53;53;0;0.0;2498;0.9995;0.0004883
54;54;1;0.0004;2499;1.0;0.0
55;55;1;0.0004;2500;1.0;0.0
