;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;3;0.0012;3;0.0012;0.999
5;5;93;0.0372;96;0.0384;0.9614
6;6;595;0.238;691;0.2764;0.7236
7;7;591;0.2365;1282;0.5127;0.4873
8;8;417;0.1667;1699;0.6797;0.3203
9;9;332;0.1328;2031;0.8125;0.1875
10;10;200;0.08;2231;0.8926;0.1074
11;11;128;0.0512;2359;0.944;0.05615
12;12;56;0.0224;2415;0.9663;0.0337
13;13;38;0.0152;2453;0.9814;0.01855
14;14;22;0.0088;2475;0.99;0.009766
15;15;9;0.0036;2484;0.9937;0.006348
16;16;6;0.0024;2490;0.996;0.003906
17;17;6;0.0024;2496;0.9985;0.001465
18;18;0;0.0;2496;0.9985;0.001465
19;19;3;0.0012;2499;0.9995;0.0004883
20;20;1;0.0004;2500;1.0;0.0
