;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;138;0.0552;142;0.0568;0.9434
6;6;311;0.1244;453;0.1812;0.819
7;7;491;0.1964;944;0.3774;0.6226
8;8;761;0.3044;1705;0.6816;0.3184
9;9;437;0.1748;2142;0.8564;0.1436
10;10;224;0.0896;2366;0.9463;0.0537
11;11;98;0.0392;2464;0.9854;0.01465
12;12;27;0.0108;2491;0.996;0.003906
13;13;5;0.002;2496;0.998;0.001953
14;14;3;0.0012;2499;0.999;0.000977
15;15;1;0.0004;2500;0.9995;0.0004883
