;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;102;0.0408;106;0.0424;0.9575
6;6;474;0.1896;580;0.2319;0.768
7;7;586;0.2344;1166;0.4663;0.5337
8;8;503;0.2012;1669;0.6675;0.3325
9;9;405;0.162;2074;0.8296;0.1704
10;10;205;0.082;2279;0.9116;0.0884
11;11;112;0.0448;2391;0.9565;0.04346
12;12;61;0.0244;2452;0.981;0.01904
13;13;34;0.0136;2486;0.9946;0.00537
14;14;8;0.0032;2494;0.998;0.001953
15;15;5;0.002;2499;1.0;0.0
16;16;1;0.0004;2500;1.0;0.0
