;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;3;0.0012;3;0.0012;0.999
5;5;93;0.0372;96;0.0384;0.9614
6;6;583;0.2332;679;0.2715;0.7285
7;7;612;0.2448;1291;0.516;0.484
8;8;441;0.1764;1732;0.6924;0.3076
9;9;321;0.1284;2053;0.821;0.1792
10;10;177;0.0708;2230;0.8916;0.1084
11;11;123;0.0492;2353;0.941;0.05908
12;12;58;0.0232;2411;0.964;0.03613
13;13;34;0.0136;2445;0.9775;0.02246
14;14;21;0.0084;2466;0.986;0.01416
15;15;11;0.0044;2477;0.99;0.009766
16;16;8;0.0032;2485;0.9937;0.006348
17;17;7;0.0028;2492;0.9966;0.003418
18;18;3;0.0012;2495;0.9976;0.002441
19;19;3;0.0012;2498;0.9985;0.001465
20;20;0;0.0;2498;0.9985;0.001465
21;21;1;0.0004;2499;0.999;0.000977
22;22;0;0.0;2499;0.999;0.000977
23;23;0;0.0;2499;0.999;0.000977
24;24;0;0.0;2499;0.999;0.000977
25;25;1;0.0004;2500;0.9995;0.0004883
