;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;137;0.0548;141;0.0564;0.9434
6;6;822;0.3289;963;0.3853;0.6147
7;7;516;0.2064;1479;0.592;0.4082
8;8;338;0.1353;1817;0.727;0.273
9;9;228;0.0912;2045;0.8184;0.1816
10;10;133;0.0532;2178;0.8716;0.1284
11;11;102;0.0408;2280;0.9126;0.0874
12;12;59;0.0236;2339;0.936;0.06396
13;13;38;0.0152;2377;0.951;0.04883
14;14;27;0.0108;2404;0.962;0.0381
15;15;24;0.0096;2428;0.9717;0.02832
16;16;12;0.0048;2440;0.9766;0.02344
17;17;10;0.004;2450;0.9805;0.01953
18;18;12;0.0048;2462;0.9854;0.01465
19;19;6;0.0024;2468;0.988;0.01221
20;20;8;0.0032;2476;0.991;0.00879
21;21;11;0.0044;2487;0.9956;0.004395
22;22;5;0.002;2492;0.9976;0.002441
23;23;0;0.0;2492;0.9976;0.002441
24;24;2;0.0008;2494;0.9985;0.001465
25;25;2;0.0008;2496;0.9995;0.0004883
26;26;0;0.0;2496;0.9995;0.0004883
27;27;1;0.0004;2497;1.0;0.0
28;28;1;0.0004;2498;1.0;0.0
29;29;0;0.0;2498;1.0;0.0
30;30;1;0.0004;2499;1.0;0.0
31;31;1;0.0004;2500;1.0;0.0
