;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;3;0.0012;3;0.0012;0.999
5;5;89;0.0356;92;0.0368;0.9634
6;6;589;0.2356;681;0.2725;0.7275
7;7;575;0.23;1256;0.5024;0.4976
8;8;480;0.192;1736;0.6943;0.3057
9;9;301;0.1204;2037;0.815;0.185
10;10;207;0.0828;2244;0.898;0.10205
11;11;111;0.0444;2355;0.9424;0.05762
12;12;57;0.0228;2412;0.9653;0.03467
13;13;42;0.0168;2454;0.982;0.01807
14;14;21;0.0084;2475;0.99;0.009766
15;15;9;0.0036;2484;0.9937;0.006348
16;16;9;0.0036;2493;0.997;0.00293
17;17;1;0.0004;2494;0.9976;0.002441
18;18;3;0.0012;2497;0.9985;0.001465
19;19;0;0.0;2497;0.9985;0.001465
20;20;0;0.0;2497;0.9985;0.001465
21;21;0;0.0;2497;0.9985;0.001465
22;22;1;0.0004;2498;0.999;0.000977
23;23;0;0.0;2498;0.999;0.000977
24;24;2;0.0008;2500;1.0;0.0
