;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;144;0.0576;148;0.05917;0.941
6;6;638;0.2551;786;0.3142;0.6855
7;7;456;0.1824;1242;0.4966;0.5034
8;8;469;0.1876;1711;0.684;0.316
9;9;300;0.12;2011;0.804;0.1958
10;10;191;0.0764;2202;0.881;0.11914
11;11;108;0.0432;2310;0.924;0.0762
12;12;87;0.0348;2397;0.9585;0.0415
13;13;46;0.0184;2443;0.977;0.02295
14;14;25;0.01;2468;0.987;0.01318
15;15;19;0.0076;2487;0.9946;0.00537
16;16;9;0.0036;2496;0.998;0.001953
17;17;2;0.0008;2498;0.999;0.000977
18;18;1;0.0004;2499;0.9995;0.0004883
19;19;0;0.0;2499;0.9995;0.0004883
20;20;0;0.0;2499;0.9995;0.0004883
21;21;1;0.0004;2500;1.0;0.0
