;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;146;0.0584;150;0.06;0.94
6;6;612;0.2448;762;0.3047;0.6953
7;7;521;0.2084;1283;0.513;0.4868
8;8;461;0.1844;1744;0.6978;0.3022
9;9;255;0.102;1999;0.8;0.2002
10;10;176;0.0704;2175;0.87;0.1299
11;11;134;0.0536;2309;0.924;0.0762
12;12;82;0.0328;2391;0.9565;0.04346
13;13;54;0.0216;2445;0.978;0.02197
14;14;28;0.0112;2473;0.9893;0.01074
15;15;10;0.004;2483;0.993;0.006836
16;16;6;0.0024;2489;0.9956;0.004395
17;17;6;0.0024;2495;0.998;0.001953
18;18;4;0.0016;2499;0.9995;0.0004883
19;19;0;0.0;2499;0.9995;0.0004883
20;20;1;0.0004;2500;1.0;0.0
