;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;1;0.0004;1;0.0004;0.9995
5;5;103;0.0412;104;0.0416;0.9585
6;6;575;0.23;679;0.2715;0.7285
7;7;592;0.2368;1271;0.5083;0.4917
8;8;444;0.1776;1715;0.686;0.314
9;9;319;0.1276;2034;0.8135;0.1865
10;10;193;0.0772;2227;0.8906;0.1094
11;11;119;0.0476;2346;0.9385;0.06152
12;12;68;0.0272;2414;0.966;0.03418
13;13;40;0.016;2454;0.982;0.01807
14;14;22;0.0088;2476;0.9907;0.00928
15;15;12;0.0048;2488;0.9956;0.004395
16;16;9;0.0036;2497;0.999;0.000977
17;17;0;0.0;2497;0.999;0.000977
18;18;2;0.0008;2499;1.0;0.0
19;19;0;0.0;2499;1.0;0.0
20;20;0;0.0;2499;1.0;0.0
21;21;1;0.0004;2500;1.0;0.0
