;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;3;0.0012;3;0.0012;0.999
5;5;111;0.0444;114;0.0456;0.9546
6;6;547;0.2188;661;0.2644;0.7354
7;7;604;0.2416;1265;0.506;0.4941
8;8;457;0.1827;1722;0.6885;0.3115
9;9;333;0.1332;2055;0.822;0.1782
10;10;179;0.0716;2234;0.8936;0.10645
11;11;106;0.0424;2340;0.936;0.06396
12;12;74;0.0296;2414;0.966;0.03418
13;13;39;0.0156;2453;0.9814;0.01855
14;14;19;0.0076;2472;0.9893;0.01074
15;15;12;0.0048;2484;0.994;0.00586
16;16;7;0.0028;2491;0.997;0.00293
17;17;4;0.0016;2495;0.9985;0.001465
18;18;3;0.0012;2498;0.9995;0.0004883
19;19;1;0.0004;2499;1.0;0.0
20;20;1;0.0004;2500;1.0;0.0
