;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;104;0.0416;108;0.04318;0.957
6;6;562;0.2249;670;0.268;0.732
7;7;600;0.24;1270;0.508;0.4922
8;8;474;0.1896;1744;0.6973;0.3027
9;9;302;0.1208;2046;0.818;0.1821
10;10;190;0.076;2236;0.894;0.10596
11;11;106;0.0424;2342;0.9365;0.0635
12;12;72;0.0288;2414;0.9653;0.03467
13;13;38;0.0152;2452;0.9805;0.01953
14;14;18;0.0072;2470;0.988;0.01221
15;15;9;0.0036;2479;0.991;0.00879
16;16;7;0.0028;2486;0.994;0.00586
17;17;4;0.0016;2490;0.9956;0.004395
18;18;5;0.002;2495;0.9976;0.002441
19;19;2;0.0008;2497;0.9985;0.001465
20;20;1;0.0004;2498;0.999;0.000977
21;21;1;0.0004;2499;0.9995;0.0004883
22;22;1;0.0004;2500;1.0;0.0
