;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;141;0.0564;145;0.05798;0.942
6;6;633;0.2532;778;0.311;0.689
7;7;493;0.1971;1271;0.5083;0.4917
8;8;435;0.174;1706;0.682;0.3179
9;9;299;0.1196;2005;0.802;0.1982
10;10;194;0.0776;2199;0.8794;0.1206
11;11;128;0.0512;2327;0.9307;0.06934
12;12;77;0.0308;2404;0.9614;0.03857
13;13;38;0.0152;2442;0.9766;0.02344
14;14;24;0.0096;2466;0.9863;0.01367
15;15;14;0.0056;2480;0.9917;0.0083
16;16;10;0.004;2490;0.9956;0.004395
17;17;2;0.0008;2492;0.9966;0.003418
18;18;3;0.0012;2495;0.9976;0.002441
19;19;2;0.0008;2497;0.9985;0.001465
20;20;2;0.0008;2499;0.9995;0.0004883
21;21;1;0.0004;2500;1.0;0.0
