;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;129;0.0516;133;0.0532;0.947
6;6;337;0.1348;470;0.188;0.812
7;7;464;0.1855;934;0.3735;0.6265
8;8;742;0.2969;1676;0.6704;0.3296
9;9;467;0.1868;2143;0.8574;0.1426
10;10;233;0.0932;2376;0.9507;0.04932
11;11;100;0.04;2476;0.9907;0.00928
12;12;15;0.006;2491;0.9966;0.003418
13;13;7;0.0028;2498;0.9995;0.0004883
14;14;1;0.0004;2499;1.0;0.0
15;15;1;0.0004;2500;1.0;0.0
