;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;135;0.054;139;0.05557;0.9443
6;6;827;0.3308;966;0.3865;0.6133
7;7;529;0.2115;1495;0.598;0.4019
8;8;339;0.1356;1834;0.734;0.266
9;9;203;0.0812;2037;0.815;0.185
10;10;137;0.0548;2174;0.8696;0.1304
11;11;90;0.036;2264;0.906;0.09424
12;12;54;0.0216;2318;0.9272;0.07275
13;13;50;0.02;2368;0.9473;0.05273
14;14;31;0.0124;2399;0.9595;0.04053
15;15;29;0.0116;2428;0.971;0.02881
16;16;14;0.0056;2442;0.9766;0.02344
17;17;22;0.0088;2464;0.9854;0.01465
18;18;12;0.0048;2476;0.99;0.009766
19;19;3;0.0012;2479;0.991;0.00879
20;20;5;0.002;2484;0.993;0.006836
21;21;5;0.002;2489;0.995;0.004883
22;22;1;0.0004;2490;0.9956;0.004395
23;23;2;0.0008;2492;0.9966;0.003418
24;24;0;0.0;2492;0.9966;0.003418
25;25;1;0.0004;2493;0.997;0.00293
26;26;0;0.0;2493;0.997;0.00293
27;27;3;0.0012;2496;0.998;0.001953
28;28;2;0.0008;2498;0.999;0.000977
29;29;0;0.0;2498;0.999;0.000977
30;30;0;0.0;2498;0.999;0.000977
31;31;1;0.0004;2499;0.9995;0.0004883
32;32;0;0.0;2499;0.9995;0.0004883
33;33;0;0.0;2499;0.9995;0.0004883
34;34;0;0.0;2499;0.9995;0.0004883
35;35;0;0.0;2499;0.9995;0.0004883
36;36;0;0.0;2499;0.9995;0.0004883
37;37;0;0.0;2499;0.9995;0.0004883
38;38;0;0.0;2499;0.9995;0.0004883
39;39;0;0.0;2499;0.9995;0.0004883
40;40;0;0.0;2499;0.9995;0.0004883
41;41;1;0.0004;2500;1.0;0.0
