#n_nodes,m_edges,aspl,diameter,acluster,assort,n_conn,n_comp,o_largestc
2500,9900,4.801219,10,0.154408,0.014124,4,1,2500
2475,9667,4.835275,10,0.153149,0.014600,3,1,2475
2450,9499,4.837223,10,0.153687,0.014637,3,1,2450
2425,9302,4.870563,10,0.153748,0.015791,3,1,2425
2400,9120,4.879060,10,0.153796,0.017121,3,1,2400
2375,8901,4.898423,10,0.153779,0.014641,2,1,2375
2350,8720,4.909165,10,0.154172,0.015436,2,1,2350
2325,8530,4.919242,10,0.153726,0.018481,2,1,2325
2300,8361,4.933348,10,0.154730,0.018885,1,1,2300
2275,8201,4.935309,10,0.155795,0.018548,1,1,2275
2250,8025,4.951412,10,0.155663,0.020541,1,1,2250
2225,7809,4.993609,10,0.155622,0.019130,1,1,2225
2200,7654,4.998016,11,0.156991,0.020342,1,1,2200
2175,7433,5.036526,11,0.155272,0.022640,1,1,2175
2150,7284,5.045030,11,0.156672,0.023472,1,1,2150
2125,7087,5.091262,11,0.155487,0.026326,1,1,2125
2100,6916,5.133503,11,0.155456,0.022530,1,1,2100
2075,6775,5.140333,11,0.156172,0.022527,1,1,2075
2050,6614,5.156038,11,0.155608,0.021552,1,1,2050
2025,6471,5.165344,11,0.157633,0.022757,1,1,2025
2000,6302,5.194815,11,0.157252,0.021187,1,1,2000
1975,6131,5.216084,11,0.157582,0.022865,1,1,1975
1950,5960,5.270647,12,0.157945,0.023857,1,1,1950
1925,5808,5.287229,12,0.157872,0.022307,1,1,1925
1900,5661,5.303818,12,0.157362,0.025462,1,1,1900
1875,5537,5.315375,12,0.158095,0.027195,1,1,1875
1850,5411,5.339408,12,0.159867,0.029064,1,1,1850
1825,5243,5.378283,12,0.158713,0.027801,1,1,1825
1800,5070,5.444990,12,0.156499,0.033741,1,2,1799
1775,4941,5.473138,12,0.157482,0.032880,1,2,1774
1750,4801,5.494636,12,0.158308,0.031863,1,3,1748
1725,4650,5.545879,12,0.158665,0.031672,1,4,1722
1700,4519,5.570388,13,0.158775,0.030522,1,4,1697
1675,4354,5.610669,13,0.156583,0.021095,1,5,1670
1650,4192,5.710769,13,0.154297,0.014456,1,5,1645
1625,4072,5.725915,13,0.155137,0.014826,1,5,1620
1600,3944,5.766146,13,0.154694,0.013270,1,5,1595
1575,3840,5.782442,13,0.153662,0.013541,1,5,1571
1550,3682,5.932253,13,0.152934,0.013422,1,5,1546
1525,3573,5.965418,13,0.154494,0.014377,1,6,1520
1500,3476,5.970597,13,0.155672,0.016560,1,8,1492
1475,3366,6.008473,13,0.154594,0.018172,1,10,1465
1450,3264,6.042445,14,0.153020,0.019484,1,11,1439
1425,3145,6.154113,15,0.153134,0.011854,1,12,1413
1400,3036,6.174659,15,0.153049,0.013700,1,16,1384
1375,2931,6.243055,15,0.153202,0.014944,1,17,1358
1350,2831,6.289254,15,0.152745,0.015928,1,17,1333
1325,2734,6.332981,16,0.150902,0.021534,1,15,1310
1300,2616,6.440569,16,0.149932,0.020762,1,17,1283
1275,2506,6.489356,16,0.148341,0.023686,1,18,1257
1250,2415,6.578625,16,0.147618,0.028366,1,20,1230
1225,2317,6.628177,15,0.146269,0.028522,1,22,1202
1200,2241,6.667750,18,0.147471,0.029847,1,22,1177
1175,2159,6.714902,18,0.148349,0.031059,1,25,1148
1150,2051,7.012537,19,0.145581,0.028897,1,26,1122
1125,1959,7.035018,15,0.144244,0.026858,1,32,1079
1100,1875,7.079551,15,0.144740,0.027480,1,34,1052
1075,1794,7.194744,17,0.139910,0.035425,1,34,1027
1050,1724,7.225521,17,0.137287,0.035253,1,37,996
1025,1618,7.480983,19,0.131995,0.042716,1,43,964
1000,1519,7.868608,20,0.133388,0.014859,1,52,913
975,1439,8.652230,22,0.130422,-0.007592,1,55,887
950,1373,8.803195,24,0.132373,-0.009939,1,60,856
925,1308,8.862922,24,0.135813,-0.017039,1,70,819
900,1247,8.831860,22,0.132166,-0.024433,1,71,789
875,1184,9.032927,23,0.132808,-0.019441,1,74,763
850,1121,9.122947,22,0.130393,-0.016922,1,81,732
825,1061,9.496117,22,0.132029,-0.028917,1,85,702
800,1012,9.624667,23,0.130078,-0.030096,1,87,677
775,953,10.034760,25,0.131807,-0.033747,1,90,644
750,897,10.751441,27,0.132907,-0.038525,1,89,621
725,837,11.163635,27,0.128632,-0.041900,1,97,582
700,787,12.292321,31,0.124850,-0.040452,1,103,552
675,739,12.441412,32,0.122344,-0.029876,1,108,526
650,673,15.054879,42,0.123524,-0.093935,1,117,475
