#n_nodes,m_edges,aspl,diameter,acluster,assort,n_conn,n_comp,o_largestc
2500,9896,10.824300,27,0.207709,0.171473,4,1,2500
2475,9703,10.847744,27,0.207793,0.177583,4,1,2475
2450,9507,10.880190,27,0.208856,0.175294,4,1,2450
2425,9316,10.913695,27,0.209210,0.177825,3,1,2425
2400,9133,10.950364,28,0.209399,0.178160,3,1,2400
2375,8948,10.988941,28,0.209216,0.174724,3,1,2375
2350,8757,11.017720,28,0.208461,0.172546,3,1,2350
2325,8564,11.046073,28,0.207678,0.180481,3,1,2325
2300,8384,11.078388,28,0.208705,0.164622,3,1,2300
2275,8198,11.107531,28,0.209351,0.157142,2,1,2275
2250,8010,11.146789,28,0.209528,0.158761,2,1,2250
2225,7831,11.177012,28,0.209303,0.164123,2,1,2225
2200,7660,11.188849,28,0.209802,0.176851,2,1,2200
2175,7480,11.247550,28,0.210881,0.174037,2,1,2175
2150,7299,11.290228,28,0.209886,0.180948,2,1,2150
2125,7129,11.347408,28,0.208869,0.181160,2,1,2125
2100,6960,11.401174,28,0.208699,0.184584,1,1,2100
2075,6784,11.454222,28,0.208257,0.175428,1,1,2075
2050,6618,11.516260,28,0.209023,0.171874,1,2,2049
2025,6473,11.528777,28,0.208524,0.170440,1,2,2024
2000,6316,11.555347,28,0.209041,0.182590,1,2,1999
1975,6146,11.584503,28,0.207720,0.199389,1,2,1974
1950,5991,11.646523,28,0.207419,0.188428,1,2,1949
1925,5833,11.735132,28,0.207495,0.178429,1,2,1924
1900,5693,11.766352,29,0.208552,0.185503,1,2,1899
1875,5550,11.814286,29,0.208179,0.191485,1,2,1874
1850,5414,11.840753,29,0.209589,0.194220,1,2,1849
1825,5269,11.902081,30,0.209026,0.197898,1,2,1824
1800,5121,11.970012,30,0.208373,0.195694,1,2,1799
1775,4976,12.043864,30,0.208928,0.186808,1,2,1774
1750,4839,12.157310,30,0.211526,0.172825,1,2,1749
1725,4699,12.255191,31,0.210658,0.176573,1,2,1724
1700,4569,12.278896,31,0.211974,0.183247,1,2,1699
1675,4425,12.405054,31,0.213178,0.167796,1,2,1674
1650,4303,12.519806,31,0.211444,0.153760,1,2,1649
1625,4181,12.639397,32,0.211358,0.148660,1,3,1623
1600,4055,12.698582,32,0.213992,0.146534,1,3,1598
1575,3922,12.807042,32,0.215295,0.142752,1,3,1573
1550,3800,12.882512,32,0.216258,0.132244,1,4,1547
1525,3682,12.954868,32,0.217407,0.134117,1,5,1521
1500,3566,13.015887,32,0.216512,0.138487,1,8,1492
1475,3448,13.136466,32,0.215249,0.162475,1,8,1467
1450,3331,13.273316,32,0.215967,0.153374,1,9,1441
1425,3222,13.375505,33,0.218236,0.158497,1,9,1416
1400,3100,13.432774,33,0.215658,0.172120,1,10,1390
1375,2982,13.606439,33,0.213240,0.174845,1,10,1365
1350,2877,13.867393,34,0.213655,0.178953,1,11,1337
1325,2771,14.072696,35,0.213469,0.179698,1,12,1310
1300,2678,14.108957,36,0.212227,0.186055,1,12,1285
1275,2576,14.202560,36,0.210578,0.179401,1,11,1261
1250,2482,14.374969,36,0.209995,0.171594,1,14,1234
1225,2397,14.539770,36,0.211038,0.170306,1,19,1203
1200,2281,14.965461,36,0.213778,0.154108,1,21,1176
1175,2194,15.230023,35,0.216151,0.159560,1,24,1148
1150,2100,15.390850,35,0.214441,0.170337,1,30,1116
1125,1999,15.986665,35,0.210815,0.167393,1,30,1091
1100,1918,16.197416,36,0.207129,0.152404,1,30,1066
1075,1843,16.327261,36,0.204311,0.140012,1,30,1041
1050,1759,16.607925,36,0.202563,0.130526,1,32,1013
1025,1672,16.976575,40,0.196047,0.135964,1,35,985
1000,1583,17.540349,40,0.195592,0.132686,1,38,950
975,1507,17.677922,40,0.192587,0.142877,1,40,922
950,1437,19.506457,47,0.191082,0.141885,1,41,894
925,1363,20.119107,48,0.190508,0.140035,1,46,861
900,1291,20.316086,51,0.187651,0.151849,1,55,802
875,1214,20.697509,52,0.184970,0.152203,1,60,771
850,1130,30.677623,85,0.176197,0.166529,1,60,748
825,1062,33.463808,93,0.178568,0.145959,1,65,681
800,999,34.669512,98,0.168834,0.120598,1,69,658
775,945,32.000641,84,0.172419,0.137864,1,73,548
750,887,29.769448,79,0.170415,0.131916,1,77,465
725,836,22.854925,58,0.163967,0.163656,1,87,284
700,780,13.960249,38,0.124138,0.238801,1,97,145
675,725,14.947277,45,0.114706,0.208089,1,104,136
650,672,13.390363,34,0.189174,0.053352,1,112,117
625,618,12.786643,33,0.144444,0.073072,1,120,102
600,582,12.538445,32,0.134364,0.056849,1,120,97
575,536,12.040200,31,0.122963,0.083943,1,133,90
550,488,6.178776,16,0.085333,-0.055831,1,144,50
525,439,6.075680,15,0.087075,-0.096861,1,150,49
500,402,5.919048,16,0.087963,-0.159236,1,154,36
475,363,5.919048,16,0.087963,-0.159236,1,157,36
450,332,5.135081,12,0.098958,-0.215881,1,156,32
425,308,4.837607,12,0.117284,-0.282051,1,147,27
400,273,4.960000,11,0.086667,-0.349727,1,150,25
375,243,4.960000,11,0.086667,-0.349727,1,152,25
350,213,4.797101,11,0.090278,-0.259259,1,153,24
325,185,4.645022,11,0.098485,-0.255973,1,153,22
300,167,3.808824,9,0.127451,-0.039514,1,144,17
275,143,3.296703,7,0.166667,0.047619,1,142,14
250,123,3.397436,8,0.000000,-0.130435,1,136,13
225,102,2.844444,6,0.400000,-0.480769,1,130,10
200,79,2.714286,6,0.000000,-0.333333,1,127,8
175,58,1.800000,3,0.000000,-0.666667,1,120,5
150,37,1.500000,2,0.000000,-1.000000,1,114,4
125,20,1.333333,2,0.000000,-1.000000,1,105,3
100,11,1.333333,2,0.000000,-1.000000,1,89,3
75,6,1.000000,1,0.000000,na,1,69,2
50,3,1.000000,1,0.000000,na,1,47,2
25,2,1.000000,1,0.000000,na,1,23,2
1,0,0.000000,0,0.000000,na,0,1,1
