#n_nodes,m_edges,aspl,diameter,acluster,assort,n_conn,n_comp,o_largestc
2500,8518,17.4015014006,49,0.234028571429,0.101707872577,3,1,2500
2475,8346,17.4297866294,49,0.23398621132,0.110562215065,3,1,2475
2450,8178,17.4773423555,49,0.234090379009,0.122868893871,3,1,2450
2425,8014,17.4984301317,49,0.234411062019,0.132044707279,3,1,2425
2400,7844,17.5522742115,49,0.234656746032,0.131783785684,3,1,2400
2375,7688,17.5962821798,49,0.23457978279,0.142914136729,3,1,2375
2350,7528,17.621550139,49,0.234820668693,0.149135918914,2,1,2350
2325,7367,17.6466662965,50,0.235233316266,0.15527846939,2,1,2325
2300,7203,17.6755511848,50,0.234775707384,0.168304999139,2,1,2300
2275,7049,17.71661148,50,0.234533054247,0.175678188708,2,1,2275
2250,6900,17.7957531743,50,0.235442328042,0.17145252646,2,1,2250
2225,6753,17.8297777059,50,0.23590654539,0.183452170329,2,1,2225
2200,6606,17.8672756212,50,0.236778499278,0.173455725373,2,1,2200
2175,6460,17.9012767397,50,0.237111840905,0.166293421094,2,1,2175
2150,6309,17.929657277,50,0.236956810631,0.16106565392,1,1,2150
2125,6164,17.9428678409,51,0.236821288515,0.16223378863,1,1,2125
2100,6024,17.9787917149,51,0.236808390023,0.163815975948,1,1,2100
2075,5886,18.0679769028,51,0.236631095812,0.163531588437,1,1,2075
2050,5749,18.1137668583,51,0.235679442509,0.165992994971,1,1,2050
2025,5616,18.1617342507,51,0.236894375857,0.174641649539,1,1,2025
2000,5478,18.2539304652,52,0.237523809524,0.163640738634,1,1,2000
1975,5338,18.2975932695,52,0.237365481214,0.157161239002,1,1,1975
1950,5213,18.3228048572,52,0.237706552707,0.152486921416,1,1,1950
1925,5074,18.4117784918,52,0.237362605648,0.148747111734,1,1,1925
1900,4949,18.4685679443,52,0.235612364244,0.165238824484,1,1,1900
1875,4818,18.5389586624,52,0.235542010582,0.161085303215,1,1,1875
1850,4675,18.6126665985,52,0.234072501073,0.167130342751,1,1,1850
1825,4550,18.6119045902,52,0.23069667319,0.167624259803,1,1,1825
1800,4434,18.6717528256,52,0.228845238095,0.178661566893,1,1,1800
1775,4311,18.7525172682,52,0.227356136821,0.188825426482,1,1,1775
1750,4183,18.8362349097,52,0.22707755102,0.20109179669,1,1,1750
1725,4074,18.8819418728,52,0.227100596619,0.196258877336,1,2,1724
1700,3955,19.0138396382,52,0.227217691079,0.191547223766,1,2,1699
1675,3838,19.0372291386,52,0.226443647949,0.190140985504,1,2,1674
1650,3732,19.1229928201,52,0.225452207582,0.197470440591,1,3,1648
1625,3615,19.3058173467,52,0.221975765044,0.203970797165,1,3,1623
1600,3513,19.3762945698,53,0.223033255856,0.201577657008,1,3,1598
1575,3416,19.5308096186,53,0.221136067412,0.214223501597,1,5,1571
1550,3314,19.5800030981,53,0.219568163617,0.226586725723,1,5,1546
1525,3217,19.6849450816,54,0.222587719298,0.21067936826,1,6,1520
1500,3120,19.8269573276,55,0.221143494187,0.207910273707,1,6,1495
1475,3015,19.9537062971,55,0.223041265519,0.203902979599,1,7,1469
1450,2908,20.0970056795,55,0.219823119823,0.214646602626,1,8,1443
1425,2806,20.4135706557,56,0.223708778293,0.210621479178,1,8,1418
1400,2720,20.7323516531,56,0.221601327313,0.205227724854,1,9,1392
1375,2608,20.9205830772,56,0.219532175974,0.190314021082,1,10,1366
1350,2518,21.1191183376,56,0.217028284998,0.197959664983,1,16,1330
1325,2424,21.5356897061,59,0.221079023462,0.194883832363,1,18,1301
1300,2334,21.8610416263,59,0.220404966999,0.19628398508,1,20,1277
1275,2258,22.3920486011,61,0.219831753645,0.205896423234,1,21,1251
1250,2175,22.8574062495,63,0.215981948335,0.21621153629,1,23,1224
1225,2086,23.1197324415,64,0.210125019908,0.221166530333,1,25,1196
1200,2000,23.7228122034,64,0.207971811479,0.225421081777,1,27,1169
1175,1915,23.8886411052,65,0.205124042624,0.224047068277,1,27,1144
1150,1835,23.7238980677,61,0.207854050711,0.185380511505,1,34,1078
1125,1758,24.6369922618,62,0.216406638629,0.167932781858,1,34,1053
1100,1677,25.2464414454,60,0.209078114004,0.164012646628,1,37,1015
1075,1593,25.2571749013,56,0.208088849575,0.156296622947,1,40,969
1050,1529,25.9211794056,60,0.202075048435,0.147732408931,1,45,934
1025,1461,28.1257313321,65,0.204343214425,0.143844629737,1,50,853
1000,1394,28.7951368406,71,0.197232791422,0.160035129907,1,53,826
975,1328,32.8691710456,88,0.195047141664,0.143982803238,1,56,798
950,1265,29.2710298206,80,0.182013769363,0.150783861534,1,63,664
925,1201,29.0625647748,80,0.181756649148,0.164748564702,1,68,598
900,1136,28.8621255415,83,0.176882661996,0.146459132239,1,76,571
875,1068,31.4065003779,94,0.174135802469,0.146338965575,1,87,540
850,1014,27.1732145593,74,0.166744548287,0.157012327459,1,94,428
825,969,23.7803416309,60,0.171890428412,0.162259066747,1,97,299
800,913,23.5013250549,60,0.174687605539,0.167748504518,1,108,282
775,851,17.8589483187,52,0.173888512751,0.126539873683,1,124,211
750,790,18.2362093352,54,0.180412854797,0.127723840345,1,132,203
725,735,18.9341215107,57,0.19137414966,0.150955779801,1,143,175
700,694,16.0366406675,44,0.174049217002,0.116790109497,1,146,149
675,644,15.7937555402,44,0.185780885781,0.0964475904539,1,152,143
650,579,13.1367557332,39,0.125510204082,0.264743589744,1,169,98
625,539,13.1367557332,39,0.125510204082,0.264743589744,1,171,98
600,495,8.39502908514,21,0.152688172043,0.32720708894,1,185,62
575,454,7.01414141414,18,0.177777777778,0.359474440567,1,192,45
550,419,6.51951219512,17,0.2,0.341836734694,1,195,41
525,392,5.64264264264,14,0.176576576577,0.361979166667,1,194,37
500,349,4.72167487685,12,0.248275862069,0.264705882353,1,200,29
475,314,5.02849002849,12,0.162962962963,0.172413793103,1,199,27
450,271,4.39393939394,11,0.2,0.0512820512821,1,205,22
425,245,4.39393939394,11,0.2,0.0512820512821,1,204,22
400,217,4.48095238095,11,0.150793650794,0.0436432637571,1,203,21
375,182,3.24166666667,7,0.0,0.067264573991,1,205,16
350,160,3.24166666667,7,0.0,0.067264573991,1,199,16
325,121,3.16666666667,7,0.0,-0.0547945205479,1,208,12
300,105,2.47619047619,5,0.0,-0.666666666667,1,198,7
275,87,1.7,3,0.466666666667,-0.111111111111,1,190,5
250,70,1.7,3,0.466666666667,-0.111111111111,1,181,5
225,55,1.7,3,0.466666666667,-0.111111111111,1,171,5
200,40,1.33333333333,2,0.0,-1.0,1,160,3
175,27,1.33333333333,2,0.0,-1.0,1,148,3
150,17,1.33333333333,2,0.0,-1.0,1,133,3
125,10,1.33333333333,2,0.0,-1.0,1,115,3
100,6,1.33333333333,2,0.0,-1.0,1,94,3
75,3,1.0,1,0.0,na,1,72,2
50,1,1.0,1,0.0,na,1,49,2
25,1,1.0,1,0.0,na,1,24,2
1,0,0,0,0.0,na,0,1,1
