#n_nodes,m_edges,aspl,diameter,acluster,assort,n_conn,n_comp,o_largestc
2500,9900,4.841224,9,0.156324,0.023877,4,1,2500
2475,9713,4.857949,9,0.156603,0.022084,4,1,2475
2450,9545,4.865475,9,0.157405,0.021849,4,1,2450
2425,9327,4.879013,9,0.156772,0.026830,3,1,2425
2400,9162,4.881076,9,0.156890,0.026651,3,1,2400
2375,8936,4.910695,9,0.155708,0.028864,3,1,2375
2350,8763,4.918973,9,0.156674,0.029717,3,1,2350
2325,8604,4.925333,9,0.157639,0.030732,3,1,2325
2300,8398,4.947228,9,0.156355,0.030751,3,1,2300
2275,8219,4.959265,10,0.156722,0.030283,3,1,2275
2250,8048,4.970856,10,0.156924,0.030882,3,1,2250
2225,7896,4.974217,10,0.158406,0.030207,2,1,2225
2200,7688,5.004991,10,0.157578,0.031830,2,1,2200
2175,7500,5.031602,10,0.157628,0.028886,1,1,2175
2150,7332,5.050874,10,0.157523,0.026015,1,1,2150
2125,7185,5.058933,10,0.158017,0.027041,1,1,2125
2100,7022,5.071553,10,0.158713,0.026076,1,1,2100
2075,6880,5.083561,10,0.158617,0.026303,1,1,2075
2050,6720,5.108018,11,0.159793,0.026137,1,1,2050
2025,6541,5.125140,11,0.157819,0.030056,1,2,2024
2000,6355,5.209459,11,0.156487,0.023457,1,2,1999
1975,6212,5.222622,11,0.157588,0.023631,1,2,1974
1950,6058,5.256882,11,0.159895,0.026927,1,2,1949
1925,5873,5.324274,11,0.157796,0.025754,1,3,1923
1900,5725,5.366622,11,0.158412,0.026250,1,3,1898
1875,5581,5.385307,11,0.160257,0.026008,1,4,1872
1850,5445,5.405724,12,0.161267,0.024413,1,4,1847
1825,5244,5.486295,12,0.157155,0.024419,1,4,1822
1800,5105,5.523677,12,0.156777,0.023063,1,4,1797
1775,4989,5.531044,12,0.157740,0.025933,1,4,1772
1750,4842,5.570508,13,0.157990,0.025191,1,5,1746
1725,4711,5.589128,13,0.159405,0.025372,1,6,1720
1700,4589,5.602279,14,0.158349,0.027999,1,6,1695
1675,4457,5.628905,14,0.157093,0.030169,1,6,1670
1650,4339,5.670861,14,0.158263,0.033030,1,6,1645
1625,4211,5.728596,14,0.157926,0.031135,1,6,1620
1600,4050,5.833217,14,0.155121,0.028788,1,6,1595
1575,3930,5.847442,14,0.155742,0.026960,1,7,1565
1550,3815,5.875339,14,0.156637,0.028299,1,8,1538
1525,3700,5.903364,14,0.156658,0.030253,1,8,1513
1500,3567,6.011909,14,0.154311,0.030820,1,8,1488
1475,3424,6.154841,15,0.150488,0.036445,1,9,1462
1450,3290,6.257373,15,0.148884,0.035495,1,12,1434
1425,3155,6.323166,15,0.149451,0.038178,1,14,1408
1400,3058,6.345491,15,0.151497,0.038983,1,17,1380
1375,2939,6.504370,17,0.149899,0.027489,1,19,1355
1350,2823,6.583044,18,0.147923,0.035609,1,21,1327
