#n_nodes,m_edges,aspl,diameter,acluster,assort,n_conn,n_comp,o_largestc
2500,9900,4.795491,9,0.152307,0.019531,4,1,2500
2475,9689,4.818426,9,0.152219,0.019425,4,1,2475
2450,9524,4.824059,9,0.153125,0.019287,4,1,2450
2425,9266,4.859817,9,0.150768,0.024317,3,1,2425
2400,9058,4.903566,9,0.150630,0.028395,3,1,2400
2375,8857,4.916155,9,0.149997,0.030066,2,1,2375
2350,8657,4.945794,9,0.150075,0.029092,2,1,2350
2325,8481,4.961794,9,0.150545,0.029759,2,1,2325
2300,8321,4.968183,9,0.150959,0.030222,2,1,2300
2275,8129,5.010166,9,0.150632,0.031688,1,1,2275
2250,7920,5.060620,10,0.150289,0.030688,1,1,2250
2225,7758,5.065713,10,0.150886,0.032303,1,1,2225
2200,7580,5.086775,10,0.150217,0.031922,1,1,2200
2175,7411,5.098596,10,0.150156,0.031649,1,1,2175
2150,7272,5.103407,10,0.151139,0.032995,1,2,2149
2125,7100,5.118336,10,0.150924,0.033411,1,2,2124
2100,6907,5.177363,10,0.151229,0.033939,1,2,2099
2075,6753,5.196472,10,0.152022,0.036354,1,2,2074
2050,6605,5.205098,10,0.152374,0.036546,1,2,2049
2025,6456,5.215499,10,0.152158,0.037244,1,2,2024
2000,6303,5.255656,10,0.152877,0.040144,1,1,2000
1975,6147,5.270544,10,0.154060,0.039684,1,1,1975
1950,6011,5.280753,10,0.155138,0.039384,1,1,1950
1925,5867,5.328295,10,0.155421,0.035525,1,1,1925
1900,5697,5.355854,10,0.154042,0.031948,1,1,1900
1875,5565,5.370714,10,0.154677,0.032127,1,1,1875
1850,5402,5.442050,10,0.152794,0.035304,1,1,1850
1825,5266,5.465050,11,0.153476,0.036360,1,1,1825
1800,5124,5.491161,11,0.152998,0.036385,1,1,1800
1775,4939,5.625929,12,0.152655,0.027491,1,1,1775
1750,4811,5.659844,12,0.155657,0.026474,1,1,1750
1725,4690,5.680949,13,0.157710,0.028399,1,1,1725
1700,4552,5.726466,13,0.156336,0.029445,1,1,1700
1675,4427,5.759525,13,0.153848,0.032034,1,2,1674
1650,4319,5.780547,13,0.154581,0.034076,1,2,1649
1625,4185,5.807900,13,0.153096,0.041930,1,2,1624
1600,4037,5.830801,13,0.151769,0.052551,1,3,1598
1575,3921,5.854398,13,0.151958,0.052195,1,4,1572
1550,3804,5.884506,13,0.150738,0.048882,1,4,1547
1525,3689,5.913682,13,0.154911,0.048517,1,4,1522
1500,3575,5.950821,13,0.155551,0.047059,1,4,1497
1475,3467,5.978948,13,0.155161,0.046196,1,5,1471
1450,3357,6.038689,13,0.155482,0.046827,1,6,1445
1425,3245,6.073365,14,0.154109,0.051536,1,7,1419
1400,3134,6.119961,14,0.153269,0.046023,1,8,1392
1375,3029,6.154799,14,0.153958,0.048253,1,10,1365
1350,2928,6.209700,14,0.152800,0.045745,1,11,1339
1325,2803,6.267836,14,0.148897,0.052019,1,12,1313
1300,2687,6.333406,14,0.149112,0.050233,1,14,1286
1275,2601,6.377330,15,0.150395,0.047770,1,17,1257
1250,2495,6.444025,15,0.148990,0.049816,1,19,1230
1225,2378,6.812574,16,0.141154,0.070238,1,19,1205
1200,2290,6.875248,16,0.141490,0.077769,1,20,1179
1175,2204,6.957741,17,0.140221,0.085673,1,20,1154
1150,2103,7.085777,17,0.141084,0.087265,1,25,1123
1125,2006,7.239256,17,0.143156,0.083626,1,29,1094
1100,1925,7.307066,18,0.141639,0.091254,1,30,1067
